page_likes,page_checkin,daily_crowd,page_category,F1,F2,F3,F4,F5,F6,F7,F8,c1,c2,c3,c4,c5,base_time,post_length,share_count,promotion,h_target,post_day,basetime_day
18236,0,81,4,127,13.6605080831409,8,18.4959326836699,0,97,4.60739030023095,1,14,0,1,13,-1,66,0,2,0,24,monday,wednesday
155048,0,34292,18,1158,64.3824701195219,41,96.0014168817362,0,769,23.5617529880478,6,13,3,10,10,-7,48,82,13,0,24,wednesday,friday
4662,10,12,49,17,2.12582781456954,1,3.18898068740731,0,10,0.728476821192053,0,1,0,1,0,-1,66,90,2,0,24,friday,monday
96918,100,4495,8,286,15.7155963302752,8,32.8554684289259,0,114,5.59327217125382,1,12,0,12,12,-12,46,66,15,0,24,friday,sunday
297702,148,488,55,164,5.79537366548043,3,12.2442133889923,0,135,2.2135231316726,0,5,0,0,5,0,65,33,1,0,24,saturday,tuesday
4072194,880,161174,9,2119,142.04972972973,79,196.256621062164,0,1950,58.6864864864865,17,111,21,90,109,-69,32,447,122,0,24,sunday,monday
300536,272,28053,24,883,53.0130208333333,38,78.5796592719212,0,604,20.9375,8,45,45,0,45,45,12,101,261,0,24,sunday,sunday
133574,0,22660,38,399,30.2977346278317,17,46.8479813926265,0,159,11.6666666666667,4,16,0,6,15,-6,56,90,2,0,24,thursday,saturday
25723,0,3586,2,60,22.4539385847797,22,11.9806063179301,0,53,8.64485981308411,4,23,23,0,23,23,21,45,2,0,24,saturday,sunday
300536,272,28053,24,883,53.0130208333333,38,78.5796592719212,0,604,20.9375,8,147,27,120,132,-93,43,9,452,0,24,friday,sunday
23055,0,67,36,472,20.3106646058733,12,39.3236197886612,0,251,7.73570324574961,2,42,22,20,42,2,25,126,34,0,24,monday,tuesday
4488,0,124,40,29,3.3671875,2,4.54434933074513,0,21,1.3984375,0,3,3,0,3,3,14,879,1,0,24,thursday,friday
2046147,0,123685,9,1411,123.083242059146,73,163.739580568996,0,1076,43.26286966046,14,11,11,0,11,11,18,12,2,0,24,friday,saturday
98168,0,1843,36,393,34.4348290598291,21,45.7562057882116,0,195,12.0320512820513,5,23,0,2,22,-2,67,34,40,0,24,tuesday,friday
33326385,157,27408,47,402,156.593582887701,148,70.5812806491353,0,381,66.8716577540107,36,83,83,0,83,83,2,185,216,0,24,sunday,sunday
668834,4,42523,9,1389,109.848195329087,84.5,118.636482414088,0,1379,42.2983014861996,8,99,4,95,98,-91,42,0,802,0,24,monday,tuesday
1185,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43,173,18,0,24,monday,wednesday
640987,0,84288,1,91,11.5530085959885,8,12.5043567583364,0,78,4.62607449856734,2,0,0,0,0,0,0,103,105,0,24,wednesday,wednesday
8035,608,69,32,50,4.26344086021505,2,7.9053851925255,0,19,1.36021505376344,0,1,1,0,1,1,9,68,2,0,24,saturday,sunday
8078774,1,1226888,42,1721,355.310344827586,255,350.559038277823,0,1540,158.287356321839,86,28,0,3,27,-3,65,440,2,0,24,monday,thursday
54305,0,4830,67,255,9.9082774049217,4,24.9641908809229,0,255,5.35346756152125,1,7,2,5,6,-3,42,0,217,0,24,monday,tuesday
16146,0,1994,36,40,5.41910828025478,4,5.79249606558383,0,32,2.04203821656051,1,7,0,7,7,-7,42,35,69,0,24,saturday,monday
1060457,120918,68146,9,185,26.872,2.5,44.8170460427726,0,185,13.3,0.5,91,31,60,91,-29,27,113,40,0,24,saturday,monday
1128745,0,52663,9,674,47.5766129032258,20,91.9445516715154,0,576,21.3145161290323,4,2,1,1,2,0,26,111,31,0,24,sunday,monday
609152,1,16856,18,710,41.6978557504873,23,73.9211972759386,0,363,16.7348927875244,5,15,3,12,15,-9,30,222,17,0,24,thursday,saturday
6109,257,1,13,33,2.63846153846154,0,5.65957846507731,0,20,1.1,0,14,0,3,14,-3,55,19,1,0,24,friday,sunday
24148,18,249,82,2,0.152173913043478,0,0.50936410929826,0,1,0.043478260869565,0,1,1,0,1,1,3,431,1,0,24,tuesday,wednesday
672411,1,14221,9,451,30.6619411123228,14,53.6250889554472,0,444,11.6444929116685,3,7,0,0,7,0,72,178,24,0,24,wednesday,saturday
98168,0,1843,36,393,34.4348290598291,21,45.7562057882116,0,195,12.0320512820513,5,69,0,14,63,-14,65,54,345,0,24,monday,thursday
2470711,36,271475,9,1445,196.810140237325,132,214.501234232466,0,1080,68.4056094929881,14,150,1,15,149,-14,56,78,87,0,24,friday,sunday
6991,0,550,80,45,2.91866028708134,1,5.02891982127431,0,30,1.00318979266348,0,1,1,0,1,1,19,174,1,0,24,wednesday,thursday
633796,0,954,9,503,30.3285714285714,6,82.0667535657183,0,355,11.02,1,4,0,0,4,0,66,169,2,0,24,wednesday,saturday
43331,1536,187,27,12,1.25382262996942,0,2.40789522064734,0,10,0.418960244648318,0,2,0,0,2,0,57,307,1,0,24,tuesday,thursday
518876,0,51411,24,363,63.3982035928144,38,65.0237183562178,0,267,25.9880239520958,7,102,3,22,96,-19,56,73,12,0,24,sunday,wednesday
