page_likes,page_checkin,daily_crowd,page_category,F1,F2,F3,F4,F5,F6,F7,F8,c1,c2,c3,c4,c5,base_time,post_length,share_count,promotion,h_target,post_day,basetime_day
700738,0,1600,34,64,5.67064439140811,2,10.5251771028036,0,55,2.10501193317422,0,3,0,0,3,0,72,101,2,0,24,saturday,tuesday
1611220,39,9484,31,608,67.3260869565217,46,81.6968559737303,0,542,26.9434782608696,7,62,3,25,57,-22,51,20,2,0,24,tuesday,thursday
2470711,36,271475,9,1445,196.810140237325,132,214.501234232466,0,1080,68.4056094929881,14,443,32,191,400,-159,52,42,743,0,24,saturday,tuesday
25281,280,65,39,78,19.55078125,15,14.7371951627387,0,60,6.80989583333333,3,10,5,5,10,0,29,310,4,0,24,friday,sunday
579587,0,33116,18,528,71.7519466073415,47,74.1823631862073,0,505,26.2747497219132,9,34,34,0,34,34,19,265,15,0,24,saturday,sunday
5970921,53096,234501,9,1315,133.943113772455,48,229.549480134078,0,993,48.9491017964072,12.5,6,3,3,6,0,31,488,14,0,24,thursday,saturday
1670,0,8,13,5,0.293838862559242,0,0.831209905910663,0,5,0.109004739336493,0,0,0,0,0,0,20,48,1,0,24,friday,saturday
9108,0,35,8,39,6.48068669527897,4,7.64169809290068,0,32,2.13304721030043,0,7,0,0,7,0,72,0,1,0,24,sunday,wednesday
23253,0,4595,8,131,10.568093385214,6,16.5003311328356,0,32,3.59143968871595,2,22,0,1,22,-1,63,203,1,0,24,monday,thursday
2078654,2715,84453,9,1142,160.02729528536,100,181.572553837513,0,1089,61.4131513647643,20.5,148,13,94,135,-81,49,608,75,0,24,saturday,monday
24410,0,698,28,103,5.05778894472362,2,9.7139581039815,0,44,1.95477386934673,0,1,0,0,1,0,69,163,4,0,24,friday,monday
134,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,1,0,24,thursday,thursday
175201,0,54849,36,806,124.21589688507,82,124.282151900921,0,626,48.4425349087003,22,37,1,4,32,-3,72,197,128,0,24,sunday,wednesday
5200467,1,123640,9,751,195.91095890411,114.5,201.970224349378,0,529,85.041095890411,35.5,33,33,0,33,33,14,161,50,0,24,saturday,sunday
22042113,0,1207173,9,302,65.0974358974359,51,52.6343530560651,0,177,21.7641025641026,8,78,78,0,78,78,14,165,70,0,24,sunday,monday
55520,0,13,26,226,5.61020408163265,1,19.3327758588189,0,205,2.41020408163265,0,0,0,0,0,0,5,27,1,0,24,friday,friday
50563,10358,2348,32,112,9.32347504621072,3,17.314765202678,0,100,3.07578558225508,1,4,2,2,4,0,32,321,1,0,24,monday,tuesday
83215,393,12259,18,73,12.4626865671642,10,10.8648344491864,0,71,4.74129353233831,2,37,1,5,36,-4,53,89,4,0,24,wednesday,saturday
297836,0,80496,18,714,134.442307692308,92.5,169.012791216152,0,505,43.9038461538462,11.5,204,80,124,194,-44,28,0,29,0,24,monday,tuesday
